Player name,Team,Position,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
Isaiah Hartenstein,LAC,C,68,1216,23,229,366,563,84,160,117,215,332,50,91,132,77
Udonis Haslem,MIA,C,13,83,41,14,31,32,5,4,4,21,25,1,3,3,1
Sam Hauser,BOS,SF,26,158,24,23,50,65,2,10,5,24,29,1,0,0,2
Jaxson Hayes,NOP,C,70,1398,21,245,398,654,54,43,115,200,315,33,144,188,55
Killian Hayes,DET,PG,66,1647,20,176,459,453,111,277,36,174,210,78,57,74,35
Gordon Hayward,CHO,SF,49,1564,31,283,617,778,81,177,38,186,224,47,126,149,22
Aaron Henry,PHI,SF,6,17,22,1,5,2,2,0,0,1,1,0,0,0,2
Juancho Hernangómez,TOT,PF,40,445,26,44,106,131,16,20,28,72,100,14,19,34,10
Juancho Hernangómez,BOS,PF,18,96,26,5,27,19,6,3,9,16,25,4,6,9,2
Juancho Hernangómez,SAS,PF,5,51,26,2,6,7,2,3,4,11,15,1,3,4,1
Juancho Hernangómez,UTA,PF,17,298,26,37,73,105,8,14,15,45,60,9,10,21,7
Willy Hernangómez,NOP,C,50,839,27,170,327,453,51,63,143,195,338,21,109,141,19
Tyler Herro,MIA,SG,66,2151,22,501,1122,1367,174,263,32,297,329,44,190,219,8
Buddy Hield,TOT,SG,81,2499,29,446,1098,1265,153,229,66,287,353,73,111,127,25
Buddy Hield,SAC,SG,55,1574,29,265,693,792,90,105,43,178,221,48,80,92,15
Buddy Hield,IND,SG,26,925,29,181,405,473,63,124,23,109,132,25,31,35,10
Haywood Highsmith,MIA,SF,19,163,25,16,46,43,3,6,10,16,26,2,2,5,3
George Hill,MIL,SG,54,1253,35,118,275,334,41,120,38,117,155,42,57,62,6
Malcolm Hill,TOT,SF,19,212,26,24,52,72,3,8,11,24,35,7,11,14,3
Malcolm Hill,ATL,SG,3,46,26,5,8,17,0,1,2,4,6,4,4,4,1
Malcolm Hill,CHI,SF,16,166,26,19,44,55,3,7,9,20,29,3,7,10,2
Solomon Hill,ATL,PF,13,139,30,3,20,8,1,12,6,17,23,4,0,0,2
Nate Hinton,IND,SG,2,2,22,0,1,0,1,0,0,0,0,0,0,0,0
Jaylen Hoard,OKC,SF,7,240,22,44,90,103,8,17,30,54,84,6,6,14,5
Aaron Holiday,TOT,PG,63,1021,25,151,338,400,67,153,24,98,122,42,59,68,9
Aaron Holiday,WAS,PG,41,663,25,100,214,251,39,78,9,58,67,24,28,35,9
Aaron Holiday,PHO,PG,22,358,25,51,124,149,28,75,15,40,55,18,31,33,0
Jrue Holiday,MIL,PG,67,2207,31,478,954,1225,183,457,69,232,301,108,137,180,29
Justin Holiday,TOT,SF,74,2057,32,261,662,749,70,128,29,161,190,57,50,62,33
Justin Holiday,IND,SF,49,1416,32,190,458,541,49,90,18,117,135,36,34,41,18
Justin Holiday,SAC,SG,25,641,32,71,204,208,21,38,11,44,55,21,16,21,15
Richaun Holmes,SAC,C,45,1074,28,198,300,468,56,48,93,224,317,17,70,90,41
Rodney Hood,TOT,SF,52,709,29,58,157,163,11,38,15,62,77,15,17,19,6
Rodney Hood,MIL,SF,39,581,29,46,131,129,7,30,13,54,67,12,13,14,4
Rodney Hood,LAC,SG,13,128,29,12,26,34,4,8,2,8,10,3,4,5,2
Scotty Hopson,OKC,SG,1,18,32,2,4,4,2,1,0,1,1,0,0,0,0
Al Horford,BOS,C,69,2005,35,266,569,701,65,232,108,422,530,49,80,95,92
Talen Horton-Tucker,LAL,SG,60,1511,21,224,538,597,82,159,37,156,193,59,100,125,29
Danuel House Jr.,TOT,SF,42,727,28,80,198,248,33,44,18,93,111,21,44,58,17
Danuel House Jr.,HOU,SF,16,233,28,25,74,77,18,19,4,39,43,5,17,19,5
Danuel House Jr.,NYK,SF,1,3,28,0,1,0,0,0,0,0,0,0,0,0,0
Danuel House Jr.,UTA,SF,25,491,28,55,123,171,15,25,14,54,68,16,27,39,12
Dwight Howard,LAL,C,60,971,36,134,219,372,47,35,118,238,356,34,96,146,36
Markus Howard,DEN,SG,31,176,22,39,101,126,7,7,2,10,12,9,20,23,0
Kevin Huerter,ATL,SG,74,2188,23,345,760,892,91,203,32,222,254,55,42,52,26
Jay Huff,LAL,C,4,20,23,0,3,0,1,1,1,3,4,1,0,0,1
Elijah Hughes,TOT,SG,36,434,23,47,144,126,17,22,6,52,58,14,7,9,8
Elijah Hughes,UTA,SF,14,112,23,15,36,43,7,6,2,15,17,4,3,3,1
Elijah Hughes,POR,SG,22,322,23,32,108,83,10,16,4,37,41,10,4,6,7
Feron Hunt,NYK,SF,2,8,22,0,2,0,1,1,1,0,1,1,0,0,0
De'Andre Hunter,ATL,SF,53,1577,24,254,575,709,69,68,26,150,176,36,127,166,21
Chandler Hutchison,PHO,SF,6,22,25,1,2,4,4,2,0,5,5,0,2,2,0
Bones Hyland,DEN,PG,69,1310,21,230,571,698,86,191,14,174,188,41,107,125,20
Serge Ibaka,TOT,C,54,877,32,148,296,365,43,49,62,188,250,11,32,44,33
Serge Ibaka,LAC,C,35,538,32,94,192,232,33,36,40,110,150,7,20,29,26
Serge Ibaka,MIL,PF,19,339,32,54,104,133,10,13,22,78,100,4,12,15,7
Andre Iguodala,GSW,SF,31,603,38,46,121,124,28,114,21,79,100,27,15,20,22
Joe Ingles,UTA,SF,45,1122,34,115,285,325,46,158,12,119,131,23,17,22,5
Brandon Ingram,NOP,SF,55,1869,24,453,983,1246,151,307,35,285,320,34,266,322,26
Kyrie Irving,BRK,PG,29,1091,29,289,616,796,73,167,16,111,127,41,118,129,17
Wes Iwundu,ATL,SF,3,82,27,8,18,22,1,0,3,10,13,1,3,4,0
Frank Jackson,DET,PG,53,1164,23,194,483,560,38,55,19,68,87,27,86,104,9
Isaiah Jackson,IND,PF,36,541,20,116,206,297,40,10,60,89,149,25,60,88,52
Jaren Jackson Jr.,MEM,PF,78,2126,22,430,1036,1272,130,86,119,335,454,73,284,345,177
Josh Jackson,TOT,SF,51,830,24,120,300,328,47,54,21,120,141,26,55,77,22
Josh Jackson,DET,SF,39,707,24,103,251,276,38,49,17,106,123,21,40,56,18
Josh Jackson,SAC,SF,12,123,24,17,49,52,9,5,4,14,18,5,15,21,4
Justin Jackson,TOT,SF,7,37,26,5,15,15,1,2,1,6,7,0,2,2,0
Justin Jackson,BOS,SF,1,2,26,0,1,2,0,0,0,0,0,0,2,2,0
Justin Jackson,PHO,SF,6,35,26,5,14,13,1,2,1,6,7,0,0,0,0
Reggie Jackson,LAC,SG,75,2337,31,479,1222,1263,173,359,39,232,271,55,138,163,15
LeBron James,LAL,SF,56,2084,37,640,1221,1695,196,349,63,396,459,73,254,336,59
DeJon Jarreau,IND,SG,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0
DaQuan Jeffries,MEM,SG,3,9,24,1,2,2,0,1,0,2,2,0,0,0,0
Ty Jerome,OKC,SG,48,801,24,124,328,340,37,109,19,59,78,30,38,47,5
Isaiah Joe,PHI,SG,55,609,22,62,177,198,19,35,6,50,56,14,29,31,3
Alize Johnson,TOT,PF,23,167,25,17,39,41,12,9,28,33,61,5,7,12,0
Alize Johnson,CHI,PF,16,121,25,12,23,28,8,8,16,20,36,3,4,7,0
Alize Johnson,WAS,PF,3,18,25,2,6,4,3,0,5,7,12,0,0,1,0
Alize Johnson,NOP,PF,4,28,25,3,10,9,1,1,7,6,13,2,3,4,0
B.J. Johnson,ORL,SF,4,65,26,11,25,26,0,0,6,9,15,0,0,0,1
Cameron Johnson,PHO,PF,66,1730,25,279,607,822,47,99,42,231,273,57,98,114,16
David Johnson,TOR,SG,2,2,20,0,1,0,0,0,0,0,0,0,0,0,0
Jalen Johnson,ATL,PF,22,120,20,22,41,52,9,3,2,24,26,3,5,7,2
James Johnson,BRK,PF,62,1191,34,144,307,340,48,130,51,164,215,30,29,55,34
Joe Johnson,BOS,SG,1,2,40,1,1,2,0,0,0,0,0,0,0,0,0
Keldon Johnson,SAS,SF,75,2392,22,471,1011,1278,92,158,80,377,457,58,177,234,14
Keon Johnson,TOT,SG,37,697,19,96,272,267,46,76,24,57,81,28,41,51,12
Keon Johnson,LAC,SG,15,135,19,17,51,53,7,13,6,15,21,7,16,21,2
Keon Johnson,POR,SG,22,562,19,79,221,214,39,63,18,42,60,21,25,30,10
Stanley Johnson,LAL,PF,48,1094,25,117,251,320,35,80,34,121,155,43,53,74,14
Tyler Johnson,TOT,PG,6,91,29,6,20,17,2,7,3,9,12,3,0,0,3
Tyler Johnson,PHI,PG,3,38,29,4,10,11,1,2,1,5,6,1,0,0,1
Tyler Johnson,SAS,PG,3,53,29,2,10,6,1,5,2,4,6,2,0,0,2
Nikola Jokić,DEN,C,74,2476,26,764,1311,2004,281,584,206,813,1019,109,379,468,63
Carlik Jones,TOT,PG,5,23,24,1,9,4,3,5,1,2,3,1,2,2,0
Carlik Jones,DAL,PG,3,19,24,0,7,2,3,5,1,2,3,1,2,2,0
Carlik Jones,DEN,PG,2,4,24,1,2,2,0,0,0,0,0,0,0,0,0
Damian Jones,SAC,C,56,1017,26,175,266,454,59,69,75,171,246,26,94,131,47
Derrick Jones Jr.,CHI,PF,51,899,24,105,195,286,30,30,60,109,169,25,56,70,33
Herbert Jones,NOP,PF,78,2335,23,274,576,742,100,167,98,198,296,130,137,163,60
Jemerrio Jones,LAL,SF,2,15,26,2,3,4,0,0,2,1,3,1,0,0,0
Kai Jones,CHO,C,21,63,21,9,14,22,6,4,3,8,11,1,3,8,2
Mason Jones,LAL,SG,4,51,23,7,15,27,1,4,1,9,10,2,12,15,0
Tre Jones,SAS,PG,69,1148,22,166,339,413,46,233,29,126,155,42,71,91,7
Tyus Jones,MEM,PG,73,1549,25,249,552,632,46,324,17,159,176,66,54,66,2
DeAndre Jordan,TOT,C,48,622,33,92,143,206,37,21,83,181,264,12,22,40,35
DeAndre Jordan,LAL,C,32,408,33,60,89,132,21,13,51,121,172,10,12,26,26
DeAndre Jordan,PHI,C,16,214,33,32,54,74,16,8,32,60,92,2,10,14,9
Cory Joseph,DET,PG,65,1600,30,178,400,521,85,237,29,145,174,42,100,113,17
Georgios Kalaitzakis,TOT,SF,13,214,23,31,67,86,20,12,6,15,21,11,14,30,2
Georgios Kalaitzakis,MIL,SF,9,48,23,5,11,16,4,0,4,4,8,1,4,9,1
Georgios Kalaitzakis,OKC,SF,4,166,23,26,56,70,16,12,2,11,13,10,10,21,1
Frank Kaminsky,PHO,C,9,181,28,36,66,95,5,13,11,30,41,8,18,20,7
Luke Kennard,LAC,SG,70,1919,25,287,639,833,60,146,20,209,229,42,69,77,6
Braxton Key,TOT,SF,11,197,24,33,72,79,11,11,13,37,50,10,7,13,11
Braxton Key,PHI,SF,2,6,24,1,2,2,2,1,1,1,2,1,0,0,0
Braxton Key,DET,SF,9,191,24,32,70,77,9,10,12,36,48,9,7,13,11
George King,DAL,SF,4,19,28,0,5,1,1,0,0,5,5,0,1,2,0
Louis King,SAC,SF,10,104,22,15,47,45,0,9,0,12,12,2,7,10,1
Corey Kispert,WAS,SF,77,1801,22,234,514,634,50,85,53,156,209,35,54,62,22
Maxi Kleber,DAL,PF,59,1450,30,141,354,411,47,68,70,280,350,30,46,65,58
Brandon Knight,DAL,PG,5,65,30,10,25,32,4,8,0,8,8,1,8,8,0
Nathan Knight,MIN,PF,37,267,24,45,88,138,18,22,32,53,85,7,44,60,8
Kevin Knox,TOT,SF,30,222,22,31,85,93,7,10,14,30,44,4,16,22,2
Kevin Knox,NYK,SF,13,111,22,15,40,47,5,3,8,14,22,2,7,10,1
Kevin Knox,ATL,SF,17,111,22,16,45,46,2,7,6,16,22,2,9,12,1
John Konchar,MEM,SG,72,1292,25,135,262,349,29,109,87,242,329,45,27,49,22
Furkan Korkmaz,PHI,SG,67,1414,24,182,470,509,48,127,22,153,175,33,68,84,9
Luke Kornet,TOT,C,15,103,26,13,27,30,0,9,13,16,29,3,4,6,3
Luke Kornet,CLE,C,2,15,26,1,5,4,0,1,2,1,3,0,2,3,1
Luke Kornet,MIL,C,1,3,26,0,1,0,0,0,1,0,1,0,0,0,0
Luke Kornet,BOS,C,12,85,26,12,21,26,0,8,10,15,25,3,2,3,2
Vit Krejci,OKC,SG,30,690,21,68,167,187,29,57,18,83,101,19,19,22,8
Arnoldas Kulboka,CHO,SF,2,5,24,0,1,0,0,0,0,0,0,0,0,0,0
Jonathan Kuminga,GSW,SF,70,1185,19,236,460,652,74,64,54,180,234,31,130,190,22
Kyle Kuzma,WAS,PF,66,2204,26,423,936,1130,169,233,70,491,561,42,156,219,57
Anthony Lamb,SAS,SF,2,8,24,0,2,0,0,2,0,1,1,0,0,0,0
Jeremy Lamb,TOT,SF,56,935,29,133,347,410,37,81,26,128,154,31,89,106,22
Jeremy Lamb,IND,SF,39,613,29,85,228,276,24,51,15,79,94,23,67,80,14
Jeremy Lamb,SAC,SG,17,322,29,48,119,134,13,30,11,49,60,8,22,26,8
Jock Landale,SAS,C,54,589,26,101,204,265,31,45,63,75,138,10,34,41,14
Romeo Langford,TOT,SG,48,771,22,83,191,218,16,21,30,78,108,22,23,42,16
Romeo Langford,BOS,SG,44,728,22,79,184,207,16,19,30,74,104,21,20,34,16
Romeo Langford,SAS,SG,4,43,22,4,7,11,0,2,0,4,4,1,3,8,0
Zach LaVine,CHI,SF,67,2328,26,565,1186,1635,171,303,22,286,308,41,320,375,23
Jake Layman,MIN,SF,34,231,27,30,73,81,10,9,6,30,36,7,13,18,5
Damion Lee,GSW,SG,63,1256,29,169,383,467,38,63,27,176,203,39,66,75,6
Saben Lee,DET,PG,37,604,22,69,177,208,36,107,18,69,87,36,56,71,12
Alex Len,SAC,C,39,620,28,94,176,235,43,45,52,109,161,13,41,63,25
Caris LeVert,TOT,SG,58,1781,27,379,854,986,108,248,43,171,214,51,146,193,23
Caris LeVert,IND,SG,39,1214,27,278,622,728,75,173,30,120,150,35,111,146,18
Caris LeVert,CLE,SG,19,567,27,101,232,258,33,75,13,51,64,16,35,47,5
Kira Lewis Jr.,NOP,PG,24,341,20,59,146,141,26,49,9,30,39,11,10,12,1
Scottie Lewis,CHO,SG,2,7,21,0,0,1,0,1,0,0,0,1,1,2,0
Damian Lillard,POR,PG,29,1056,31,222,552,695,83,212,13,107,120,17,159,181,11
Nassir Little,POR,SF,42,1088,21,145,315,410,40,54,58,178,236,25,69,94,36
Isaiah Livers,DET,SF,19,383,23,41,90,121,15,21,15,42,57,13,12,14,7
Kevon Looney,GSW,C,82,1732,25,208,364,491,67,165,208,388,596,50,75,125,52
Brook Lopez,MIL,C,13,298,33,61,131,161,12,6,19,34,53,8,20,23,15
Robin Lopez,ORL,C,36,612,33,110,199,254,44,54,68,58,126,2,32,54,18
Didi Louzada,TOT,SG,9,129,22,12,33,35,5,5,5,12,17,2,2,2,2
Didi Louzada,NOP,SF,2,7,22,0,3,0,0,1,2,0,2,0,0,0,0
Didi Louzada,POR,SG,7,122,22,12,30,35,5,4,3,12,15,2,2,2,2
Kevin Love,CLE,PF,74,1665,33,327,761,1007,98,160,87,449,536,26,166,198,18
Kyle Lowry,MIA,PG,63,2133,35,276,627,844,168,474,33,249,282,67,148,174,17
Gabriel Lundberg,PHO,SG,4,44,27,5,19,13,3,11,2,5,7,3,0,0,0
Timothé Luwawu-Cabarrot,ATL,SF,52,685,26,74,186,227,20,40,17,65,82,18,35,41,6
Trey Lyles,TOT,PF,75,1537,26,262,562,786,73,88,89,290,379,29,195,243,32
Trey Lyles,DET,PF,51,990,26,175,384,532,54,58,60,184,244,22,138,176,26
Trey Lyles,SAC,PF,24,547,26,87,178,254,19,30,29,106,135,7,57,67,6
Théo Maledon,OKC,PG,51,908,20,119,317,361,65,111,20,111,131,31,79,100,11
Sandro Mamukelashvili,MIL,PF,41,407,22,57,115,154,15,22,35,47,82,9,18,22,9
Terance Mann,LAC,SF,81,2317,25,334,690,872,84,209,104,321,425,55,128,164,21
Tre Mann,OKC,PG,60,1367,20,231,588,625,71,91,25,146,171,47,65,82,12
Boban Marjanović,DAL,C,23,128,33,42,70,98,15,3,8,31,39,0,13,22,3
Lauri Markkanen,CLE,PF,61,1878,24,313,703,900,54,81,59,286,345,45,138,159,30
Naji Marshall,NOP,SF,55,735,24,109,269,313,46,62,38,104,142,33,74,93,8
Caleb Martin,MIA,SF,60,1372,26,208,410,551,52,64,70,160,230,58,71,93,30
Cody Martin,CHO,SF,71,1866,26,204,423,544,61,179,82,203,285,88,75,107,32
Kelan Martin,TOT,SF,30,450,26,70,171,171,14,21,17,38,55,13,9,13,9
Kelan Martin,IND,SF,27,444,26,70,168,171,14,21,16,37,53,13,9,13,9
Kelan Martin,BOS,SF,3,6,26,0,3,0,0,0,1,1,2,0,0,0,0
Kenyon Martin Jr.,HOU,SF,79,1656,21,279,523,696,60,101,80,217,297,34,78,123,40
Garrison Mathews,HOU,SG,65,1712,25,184,461,650,41,64,32,158,190,57,143,180,24
Dakota Mathias,MEM,SG,6,16,26,2,6,6,0,1,0,2,2,1,0,0,0
Wesley Matthews,MIL,SG,49,1002,35,87,220,249,18,36,30,62,92,23,22,28,8
Tyrese Maxey,PHI,PG,75,2650,21,483,995,1311,88,321,26,214,240,55,213,246,32
Skylar Mays,ATL,SG,28,220,24,32,64,80,10,17,5,20,25,7,8,9,0
Miles McBride,NYK,PG,40,372,21,32,108,89,5,41,4,38,42,14,8,12,1
Mac McClung,TOT,SG,2,25,23,3,6,8,3,1,0,3,3,1,1,1,1
Mac McClung,CHI,PG,1,3,23,1,1,2,1,0,0,0,0,0,0,0,0
Mac McClung,LAL,SG,1,22,23,2,5,6,2,1,0,3,3,1,1,1,1
CJ McCollum,TOT,SG,62,2145,30,536,1164,1370,127,315,53,216,269,70,116,170,22
CJ McCollum,POR,SG,36,1267,30,290,665,739,70,163,34,119,153,36,48,68,21
CJ McCollum,NOP,SG,26,878,30,246,499,631,57,152,19,97,116,34,68,102,1
T.J. McConnell,IND,PG,27,652,29,100,208,229,29,131,20,70,90,29,19,23,10
Jaden McDaniels,MIN,PF,70,1803,21,255,554,647,75,79,76,217,293,52,57,71,54
Jalen McDaniels,CHO,SF,55,895,24,123,254,340,36,58,37,133,170,26,53,72,22
Doug McDermott,SAS,PF,51,1223,30,215,465,578,43,64,18,97,115,13,40,51,6
JaVale McGee,PHO,C,74,1172,34,288,458,680,98,42,163,333,496,22,102,146,81
Cameron McGriff,POR,SF,3,46,24,5,14,14,0,3,6,9,15,0,2,2,1
Rodney McGruder,DET,SG,51,754,30,98,225,273,24,48,31,80,111,21,19,26,7
Alfonzo McKinnie,CHI,SF,17,206,29,24,61,59,7,5,13,20,33,2,2,8,3
JaQuori McLaughlin,DAL,PG,4,11,24,0,2,0,0,2,0,0,0,0,0,0,0
Jordan McLaughlin,MIN,PG,62,902,25,88,200,233,38,180,22,72,94,57,30,40,10
Ben McLemore,POR,SG,64,1285,28,216,539,655,55,59,12,91,103,38,72,88,10
De'Anthony Melton,MEM,SG,73,1657,23,281,695,791,112,194,64,264,328,104,90,120,39
Sam Merrill,MEM,SG,6,58,25,8,24,25,2,4,1,6,7,0,2,4,0
Chimezie Metu,SAC,C,60,1279,24,203,449,534,61,60,34,301,335,51,71,91,32
Khris Middleton,MIL,SF,66,2141,30,452,1021,1325,190,358,41,315,356,76,259,291,18
C.J. Miles,BOS,SG,1,2,34,0,0,0,0,0,0,0,0,0,0,0,0
Patty Mills,BRK,PG,81,2346,33,324,794,923,73,183,18,138,156,51,48,59,17
Paul Millsap,TOT,PF,33,376,36,45,115,115,19,29,41,73,114,10,17,24,13
Paul Millsap,BRK,PF,24,270,36,32,85,82,11,24,29,60,89,5,12,17,11
Paul Millsap,PHI,PF,9,106,36,13,30,33,8,5,12,13,25,5,5,7,2
Shake Milton,PHI,PG,55,1179,25,173,403,450,44,139,30,112,142,28,61,73,17
Davion Mitchell,SAC,PG,75,2076,23,352,843,861,114,313,33,133,166,55,56,85,24
Donovan Mitchell,UTA,SG,67,2266,25,617,1376,1733,200,358,55,227,282,99,267,313,12
Evan Mobley,CLE,PF,69,2331,20,422,830,1034,133,174,143,427,570,56,167,252,115
Malik Monk,LAL,SG,76,2139,23,391,826,1048,122,218,37,219,256,61,93,117,29
Greg Monroe,TOT,C,14,195,31,32,57,76,12,22,30,34,64,8,12,23,10
Greg Monroe,MIN,C,4,81,31,13,22,29,7,16,6,18,24,4,3,7,6
Greg Monroe,WAS,C,2,18,31,4,8,8,2,1,7,3,10,1,0,0,1
Greg Monroe,MIL,C,5,70,31,11,22,27,3,2,11,10,21,3,5,9,2
Greg Monroe,UTA,C,3,26,31,4,5,12,0,3,6,3,9,0,4,7,1
Moses Moody,GSW,SG,52,607,19,80,183,228,13,23,17,63,80,7,28,36,10
Xavier Moon,LAC,SG,10,137,27,25,51,58,6,24,2,12,14,7,3,5,3
Matt Mooney,NYK,SG,1,2,24,0,1,0,1,0,0,0,0,1,0,0,0
Ja Morant,MEM,PG,57,1889,22,580,1177,1564,196,384,77,248,325,66,316,415,22
Juwan Morgan,TOT,PF,2,31,24,2,3,5,0,1,2,2,4,0,0,0,0
Juwan Morgan,TOR,PF,1,27,24,2,3,5,0,1,2,2,4,0,0,0,0
Juwan Morgan,BOS,PF,1,4,24,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Morris,SAS,SG,3,16,26,0,6,2,1,2,0,2,2,0,2,4,0
Marcus Morris,LAC,PF,54,1564,32,300,691,830,69,113,26,213,239,28,129,148,18
Markieff Morris,MIA,PF,17,298,32,54,114,129,20,23,17,28,45,6,8,9,1
Monte Morris,DEN,PG,75,2239,26,374,773,945,78,333,27,199,226,56,73,84,14
Emmanuel Mudiay,SAC,PG,2,11,25,0,2,3,1,4,0,0,0,1,3,4,0
Mychal Mulder,TOT,PG,17,239,27,24,77,69,8,5,2,22,24,4,4,4,2
Mychal Mulder,ORL,PG,15,195,27,20,67,55,8,3,2,19,21,4,2,2,1
Mychal Mulder,MIA,PG,2,44,27,4,10,14,0,2,0,3,3,0,2,2,1
Ade Murkey,SAC,SG,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0
Trey Murphy III,NOP,SF,62,864,21,109,277,334,16,38,47,100,147,23,45,51,7
Dejounte Murray,SAS,PG,68,2366,25,573,1241,1438,180,627,80,483,563,138,196,247,23
Mike Muscala,OKC,C,43,592,30,113,248,344,14,22,21,108,129,18,48,57,26
Svi Mykhailiuk,TOR,SF,56,716,24,91,234,255,32,45,20,72,92,26,32,37,4
Abdel Nader,PHO,SF,14,145,28,12,35,34,11,7,4,23,27,8,6,10,4
Larry Nance Jr.,TOT,PF,46,1040,29,129,247,321,37,81,72,176,248,43,40,57,20
Larry Nance Jr.,POR,PF,37,858,29,102,198,255,27,73,58,151,209,38,32,49,13
Larry Nance Jr.,NOP,PF,9,182,29,27,49,66,10,8,14,25,39,5,8,8,7
RJ Nembhard Jr.,CLE,SG,14,63,22,6,18,15,3,12,3,4,7,1,3,4,0
Aaron Nesmith,BOS,SF,52,574,22,72,182,196,31,22,15,74,89,20,21,26,5
Raul Neto,WAS,PG,70,1372,29,204,441,526,79,217,13,121,134,55,83,108,3
Malik Newman,CLE,PG,1,8,24,3,5,8,1,1,0,1,1,0,2,2,0
Georges Niang,PHI,PF,76,1736,28,246,563,700,59,102,25,178,203,30,52,59,13
Daishen Nix,HOU,SG,24,261,19,27,67,77,26,40,7,26,33,15,16,30,0
Zeke Nnaji,DEN,PF,41,698,21,96,186,270,23,17,56,91,147,16,41,65,13
Nerlens Noel,NYK,C,25,562,27,32,60,85,20,23,48,93,141,30,21,30,31
Jaylen Nowell,MIN,SG,62,975,22,196,413,527,36,130,22,101,123,27,72,92,10
Frank Ntilikina,DAL,PG,58,685,23,89,223,240,31,69,12,67,79,27,24,25,7
Jusuf Nurkić,POR,C,56,1579,27,321,600,842,143,157,167,452,619,62,185,268,34
David Nwaba,HOU,SF,46,609,29,85,176,233,21,35,41,110,151,28,48,67,20
Jordan Nwora,MIL,SF,62,1185,23,186,462,487,57,59,37,184,221,25,36,43,17
Royce O'Neale,UTA,SF,77,2406,28,203,444,570,79,191,64,304,368,86,45,56,32
Semi Ojeleye,TOT,PF,30,406,27,30,99,98,9,9,27,47,74,7,23,29,6
Semi Ojeleye,MIL,PF,20,308,27,18,70,57,5,5,25,33,58,5,10,13,5
Semi Ojeleye,LAC,PF,10,98,27,12,29,41,4,4,2,14,16,2,13,16,1
Chuma Okeke,ORL,PF,70,1749,23,216,575,605,57,118,47,300,347,97,55,65,42
Josh Okogie,MIN,SG,49,516,23,42,104,133,23,25,29,41,70,26,35,51,12
Onyeka Okongwu,ATL,C,48,992,21,156,226,392,44,53,115,168,283,31,80,110,60
Isaac Okoro,CLE,SF,67,1981,21,207,431,588,58,121,72,129,201,56,119,155,22
KZ Okpala,MIA,PF,21,244,22,30,69,77,5,14,11,30,41,4,8,11,7
Victor Oladipo,MIA,SG,8,173,29,35,73,99,16,28,3,20,23,5,14,19,1
Cameron Oliver,ATL,SF,2,43,25,10,15,23,0,3,2,4,6,1,2,3,1
Kelly Olynyk,DET,C,40,764,30,128,286,365,58,111,54,123,177,31,69,89,19
Eugene Omoruyi,DAL,SF,4,18,24,2,5,7,0,2,2,5,7,0,2,4,0
Miye Oni,UTA,SG,16,44,24,2,9,5,1,5,1,6,7,0,0,1,0
Cedi Osman,CLE,SF,66,1462,26,247,572,709,67,135,25,121,146,52,87,131,10
Daniel Oturu,TOR,C,3,27,22,3,6,9,0,0,1,4,5,0,3,5,2
Kelly Oubre Jr.,CHO,SF,76,1999,26,410,932,1137,67,84,79,223,302,77,126,189,31
Jaysean Paige,DET,PG,1,7,27,0,3,0,1,1,0,1,1,0,0,0,0
Trayvon Palmer,DET,SG,1,17,27,0,1,0,1,0,0,2,2,0,0,0,0
Kevin Pangos,CLE,PG,24,166,29,15,46,39,7,30,2,9,11,3,3,4,0
Jabari Parker,BOS,PF,12,112,26,18,38,53,8,6,5,23,28,4,9,9,1
Eric Paschall,UTA,PF,58,736,25,114,235,334,27,36,30,76,106,9,66,86,5
Chris Paul,PHO,PG,65,2139,36,363,736,958,153,702,22,261,283,121,169,202,20
Cameron Payne,PHO,PG,58,1278,27,240,587,626,103,282,24,151,175,40,75,89,17
Elfrid Payton,PHO,PG,50,549,27,67,175,150,47,99,21,67,88,25,12,32,6
Gary Payton II,GSW,PG,71,1247,29,212,344,502,40,64,72,175,247,96,35,58,22
Norvel Pelle,UTA,C,3,19,28,3,5,6,2,0,3,3,6,0,0,0,1
Reggie Perry,TOT,PF,10,187,21,40,79,92,11,12,15,32,47,9,9,15,6
Reggie Perry,POR,PF,9,177,21,39,78,90,11,12,15,31,46,9,9,15,6
Reggie Perry,IND,PF,1,10,21,1,1,2,0,0,0,1,1,0,0,0,0
Jamorko Pickett,DET,PF,13,176,24,18,50,50,5,7,6,26,32,0,1,2,7
Theo Pinson,DAL,SF,19,148,26,14,39,48,5,17,2,19,21,5,10,10,2
Mason Plumlee,CHO,C,73,1793,31,205,320,477,100,226,176,389,565,61,67,171,52
Jakob Poeltl,SAS,C,68,1970,26,410,663,915,109,189,262,372,634,45,94,190,118
Aleksej Pokusevski,OKC,PF,61,1233,20,186,456,464,94,131,73,245,318,39,35,50,38
Yves Pons,MEM,SF,12,71,22,5,16,13,1,1,5,7,12,1,0,2,4
Jordan Poole,GSW,SG,76,2283,22,474,1058,1405,187,304,34,226,260,60,246,266,23
Kevin Porter Jr.,HOU,PG,61,1907,21,335,808,949,192,376,43,224,267,69,124,193,22
Michael Porter Jr.,DEN,SF,9,265,23,37,103,89,12,17,9,50,59,10,5,9,2
